"","entire_name","ctr_cd","ctr_ty","zipcode","age_category","age_category_percent"
"22","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_50_64_allc2",50.520833333
"23","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_65_69_allc2",8.3333333333
"24","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_70_allc2",3.6458333333
"25","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_2_11_allc2",0
"26","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_12_17_allc2",0
"27","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_2_allc2",0
"28","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_18_34_allc2",8.4112149533
"29","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_35_49_allc2",29.158878505
"30","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_50_64_allc2",45.420560748
"31","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_65_69_allc2",13.644859813
"32","Albert Einstein Medical Center (PAAE)","PAAE","TX1",19141,"age_70_allc2",3.3644859813
"33","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_2_11_allc2",50
"34","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_12_17_allc2",33.333333333
"35","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_2_allc2",0
"36","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_18_34_allc2",16.666666667
"37","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_35_49_allc2",0
"38","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_50_64_allc2",0
"39","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_65_69_allc2",0
"40","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_70_allc2",0
"41","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_2_11_allc2",0
"42","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_12_17_allc2",0
"43","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_2_allc2",0
"44","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_18_34_allc2",5.3156146179
"45","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_35_49_allc2",18.936877076
"46","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_50_64_allc2",47.176079734
"47","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_65_69_allc2",16.279069767
"48","Allegheny General Hospital (PAAG)","PAAG","TX1",15212,"age_70_allc2",12.292358804
"49","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_2_11_allc2",23.80952381
"50","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_12_17_allc2",57.142857143
"51","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_2_allc2",19.047619048
"52","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_18_34_allc2",0
"53","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_35_49_allc2",0
"54","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_50_64_allc2",0
"55","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_65_69_allc2",0
"56","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",60611,"age_70_allc2",0
"57","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_2_11_allc2",75
"58","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_12_17_allc2",25
"59","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_2_allc2",0
"60","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_18_34_allc2",0
"61","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_35_49_allc2",0
"62","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_50_64_allc2",0
"63","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_65_69_allc2",0
"64","Arkansas Children's Hospital (ARCH)","ARCH","TX1",72202,"age_70_allc2",0
"65","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_2_11_allc2",0.482509047
"66","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_12_17_allc2",0.1206272618
"67","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_2_allc2",0
"68","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_18_34_allc2",9.4089264174
"69","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_35_49_allc2",30.398069964
"70","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_50_64_allc2",42.581423402
"71","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_65_69_allc2",11.580217129
"72","AU Medical Center, Inc. (GAMC)","GAMC","TX1",30912,"age_70_allc2",5.4282267793
"73","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_2_11_allc2",0
"74","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_12_17_allc2",0
"75","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_2_allc2",0
"76","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_18_34_allc2",5.4347826087
"77","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_35_49_allc2",32.065217391
"78","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_50_64_allc2",44.565217391
"79","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_65_69_allc2",15.217391304
"80","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",53215,"age_70_allc2",2.7173913043
"81","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_2_11_allc2",0.6230529595
"82","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_12_17_allc2",0.6230529595
"83","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_2_allc2",0
"84","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_18_34_allc2",9.3457943925
"85","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_35_49_allc2",26.791277259
"86","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_50_64_allc2",49.84423676
"87","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_65_69_allc2",11.526479751
"88","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",919,"age_70_allc2",1.246105919
"89","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_2_11_allc2",0
"90","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_12_17_allc2",0
"91","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_2_allc2",0
"92","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_18_34_allc2",9.6069868996
"93","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_35_49_allc2",27.510917031
"94","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_50_64_allc2",49.781659389
"95","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_65_69_allc2",7.423580786
"96","Avera McKennan Hospital (SDMK)","SDMK","TX1",57105,"age_70_allc2",5.6768558952
"97","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_2_11_allc2",0
"98","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_12_17_allc2",0
"99","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_2_allc2",0
"100","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_18_34_allc2",8.9430894309
"101","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_35_49_allc2",24.390243902
"102","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_50_64_allc2",47.154471545
"103","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_65_69_allc2",10.569105691
"104","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",85719,"age_70_allc2",8.9430894309
"105","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_2_11_allc2",0
"106","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_12_17_allc2",0
"107","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_2_allc2",0
"108","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_18_34_allc2",7.2
"109","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_35_49_allc2",29
"110","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_50_64_allc2",51.4
"111","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_65_69_allc2",11.2
"112","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",85006,"age_70_allc2",1.2
"113","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_2_11_allc2",0
"114","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_12_17_allc2",0
"115","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_2_allc2",0
"116","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_18_34_allc2",9.7724230254
"117","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_35_49_allc2",20.749665328
"118","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_50_64_allc2",39.357429719
"119","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_65_69_allc2",14.591700134
"120","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",63110,"age_70_allc2",15.528781794
"121","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_2_11_allc2",0
"122","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_12_17_allc2",0
"123","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_2_allc2",0
"124","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_18_34_allc2",10.344827586
"125","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_35_49_allc2",29.922135706
"126","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_50_64_allc2",41.713014461
"127","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_65_69_allc2",11.568409344
"128","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1",76104,"age_70_allc2",6.4516129032
"129","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_2_11_allc2",0
"130","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_12_17_allc2",0
"131","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_2_allc2",0
"132","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_18_34_allc2",9.8116947473
"133","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_35_49_allc2",29.633300297
"134","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_50_64_allc2",42.021803766
"135","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_65_69_allc2",11.992071358
"136","Baylor University Medical Center (TXTX)","TXTX","TX1",75246,"age_70_allc2",6.5411298315
"137","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_2_11_allc2",0
"138","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_12_17_allc2",0
"139","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_2_allc2",0
"140","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_18_34_allc2",7.5144508671
"141","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_35_49_allc2",24.277456647
"142","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_50_64_allc2",54.335260116
"143","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_65_69_allc2",10.404624277
"144","Baystate Medical Center (MABS)","MABS","TX1",1199,"age_70_allc2",3.4682080925
"145","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_2_11_allc2",0
"146","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_12_17_allc2",0
"147","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_2_allc2",0
"148","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_18_34_allc2",7.0652173913
"149","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_35_49_allc2",26.358695652
"150","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_50_64_allc2",52.717391304
"151","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_65_69_allc2",13.315217391
"152","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",2215,"age_70_allc2",0.5434782609
"153","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_2_11_allc2",0
"154","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_12_17_allc2",0
"155","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_2_allc2",0
"156","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_18_34_allc2",0
"157","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_35_49_allc2",17.283950617
"158","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_50_64_allc2",61.728395062
"159","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_65_69_allc2",18.518518519
"160","Birmingham VA Medical Center (ALVA)","ALVA","TX1",35233,"age_70_allc2",2.4691358025
"161","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_2_11_allc2",38.095238095
"162","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_12_17_allc2",57.142857143
"163","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_2_allc2",4.7619047619
"164","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_18_34_allc2",0
"165","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_35_49_allc2",0
"166","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_50_64_allc2",0
"167","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_65_69_allc2",0
"168","Boston Children's Hospital (MACH)","MACH","TX1",2115,"age_70_allc2",0
"169","Boston Medical Center (MABU)","MABU","TX1",2118,"age_2_11_allc2",0
"170","Boston Medical Center (MABU)","MABU","TX1",2118,"age_12_17_allc2",0
"171","Boston Medical Center (MABU)","MABU","TX1",2118,"age_2_allc2",0
"172","Boston Medical Center (MABU)","MABU","TX1",2118,"age_18_34_allc2",11.785714286
"173","Boston Medical Center (MABU)","MABU","TX1",2118,"age_35_49_allc2",30.714285714
"174","Boston Medical Center (MABU)","MABU","TX1",2118,"age_50_64_allc2",44.285714286
"175","Boston Medical Center (MABU)","MABU","TX1",2118,"age_65_69_allc2",10.714285714
"176","Boston Medical Center (MABU)","MABU","TX1",2118,"age_70_allc2",2.5
"177","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_2_11_allc2",0
"178","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_12_17_allc2",0
"179","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_2_allc2",0
"180","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_18_34_allc2",14.501510574
"181","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_35_49_allc2",23.564954683
"182","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_50_64_allc2",41.389728097
"183","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_65_69_allc2",11.480362538
"184","Brigham and Women's Hospital (MAPB)","MAPB","TX1",2115,"age_70_allc2",9.0634441088
"185","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_2_11_allc2",0
"186","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_12_17_allc2",0
"187","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_2_allc2",0
"188","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_18_34_allc2",11.349862259
"189","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_35_49_allc2",26.94214876
"190","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_50_64_allc2",45.840220386
"191","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_65_69_allc2",11.845730028
"192","California Pacific Medical Center (CAPM)","CAPM","TX1",94114,"age_70_allc2",4.0220385675
"193","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_2_11_allc2",25
"194","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_12_17_allc2",75
"195","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_2_allc2",0
"196","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_18_34_allc2",0
"197","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_35_49_allc2",0
"198","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_50_64_allc2",0
"199","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_65_69_allc2",0
"200","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1",63104,"age_70_allc2",0
"201","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_2_11_allc2",1.3282732448
"202","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_12_17_allc2",2.4667931689
"203","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_2_allc2",0
"204","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_18_34_allc2",9.2979127135
"205","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_35_49_allc2",36.24288425
"206","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_50_64_allc2",43.074003795
"207","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_65_69_allc2",6.8311195446
"208","Carolinas Medical Center (NCCM)","NCCM","TX1",28203,"age_70_allc2",0.7590132827
"209","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_2_11_allc2",1.1608623549
"210","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_12_17_allc2",2.2388059701
"211","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_2_allc2",0.2487562189
"212","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_18_34_allc2",13.764510779
"213","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_35_49_allc2",29.43615257
"214","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_50_64_allc2",39.137645108
"215","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_65_69_allc2",10.281923715
"216","Cedars-Sinai Medical Center (CACS)","CACS","TX1",90211,"age_70_allc2",3.7313432836
"217","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_2_11_allc2",0
"218","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_12_17_allc2",0
"219","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_2_allc2",0
"220","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_18_34_allc2",17.948717949
"221","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_35_49_allc2",25.641025641
"222","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_50_64_allc2",38.461538462
"223","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_65_69_allc2",12.820512821
"224","Centennial Medical Center (TNPV)","TNPV","TX1",37203,"age_70_allc2",5.1282051282
"225","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_2_11_allc2",0
"226","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_12_17_allc2",0
"227","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_2_allc2",0
"228","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_18_34_allc2",8.9552238806
"229","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_35_49_allc2",16.417910448
"230","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_50_64_allc2",43.28358209
"231","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_65_69_allc2",20.895522388
"232","Centura Porter Adventist Hospital (COPM)","COPM","TX1",80210,"age_70_allc2",10.447761194
"233","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_2_11_allc2",0
"234","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_12_17_allc2",0
"235","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_2_allc2",0
"236","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_18_34_allc2",8.6956521739
"237","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_35_49_allc2",30.434782609
"238","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_50_64_allc2",42.391304348
"239","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_65_69_allc2",15.217391304
"240","Charleston Area Medical Center (WVCA)","WVCA","TX1",25325,"age_70_allc2",3.2608695652
"241","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_2_11_allc2",0
"242","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_12_17_allc2",0
"243","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_2_allc2",0
"244","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_18_34_allc2",12.09039548
"245","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_35_49_allc2",28.813559322
"246","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_50_64_allc2",44.745762712
"247","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_65_69_allc2",12.203389831
"248","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",77030,"age_70_allc2",2.1468926554
"249","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_2_11_allc2",31.428571429
"250","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_12_17_allc2",62.857142857
"251","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_2_allc2",2.8571428571
"252","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_18_34_allc2",2.8571428571
"253","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_35_49_allc2",0
"254","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_50_64_allc2",0
"255","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_65_69_allc2",0
"256","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1",30322,"age_70_allc2",0
"257","Children's Hospital (LACH)","LACH","TX1",70118,"age_2_11_allc2",36.363636364
"258","Children's Hospital (LACH)","LACH","TX1",70118,"age_12_17_allc2",63.636363636
"259","Children's Hospital (LACH)","LACH","TX1",70118,"age_2_allc2",0
"260","Children's Hospital (LACH)","LACH","TX1",70118,"age_18_34_allc2",0
"261","Children's Hospital (LACH)","LACH","TX1",70118,"age_35_49_allc2",0
"262","Children's Hospital (LACH)","LACH","TX1",70118,"age_50_64_allc2",0
"263","Children's Hospital (LACH)","LACH","TX1",70118,"age_65_69_allc2",0
"264","Children's Hospital (LACH)","LACH","TX1",70118,"age_70_allc2",0
"265","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_2_11_allc2",21.052631579
"266","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_12_17_allc2",47.368421053
"267","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_2_allc2",26.315789474
"268","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_18_34_allc2",5.2631578947
"269","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_35_49_allc2",0
"270","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_50_64_allc2",0
"271","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_65_69_allc2",0
"272","Children's Hospital Colorado (COCH)","COCH","TX1",80045,"age_70_allc2",0
"273","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_2_11_allc2",42.857142857
"274","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_12_17_allc2",50
"275","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_2_allc2",0
"276","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_18_34_allc2",7.1428571429
"277","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_35_49_allc2",0
"278","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_50_64_allc2",0
"279","Children's Hospital Medical Center (OHCM)","OHCM","TX1",45229,"age_65_69_allc2",0
