"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"29",29,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Other",NA
"30",30,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Unknown",NA
"31",31,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Asian or Pacific Islander",NA
"32",32,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Black or African American",NA
"33",33,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Hispanic or Latinx",NA
"34",34,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"White or Caucasian",NA
"35",35,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Other",NA
"36",36,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Unknown",NA
"37",37,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Asian or Pacific Islander",0
"38",38,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Black or African American",66.666666667
"39",39,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Hispanic or Latinx",33.333333333
"40",40,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"White or Caucasian",0
"41",41,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Other",0
"42",42,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Unknown",0
"43",43,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Asian or Pacific Islander",50
"44",44,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Black or African American",0
"45",45,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Hispanic or Latinx",50
"46",46,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"White or Caucasian",0
"47",47,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Other",0
"48",48,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Unknown",0
"49",49,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Asian or Pacific Islander",NA
"50",50,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Black or African American",NA
"51",51,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Hispanic or Latinx",NA
"52",52,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"White or Caucasian",NA
"53",53,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Other",NA
"54",54,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Unknown",NA
"55",55,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Asian or Pacific Islander",0
"56",56,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Black or African American",33.333333333
"57",57,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Hispanic or Latinx",0
"58",58,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"White or Caucasian",66.666666667
"59",59,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Other",0
"60",60,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Unknown",0
"61",1,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Asian or Pacific Islander",12.5
"62",2,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Black or African American",12.5
"63",3,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Hispanic or Latinx",12.5
"64",4,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"White or Caucasian",62.5
"65",5,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Other",0
"66",6,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Unknown",0
"67",7,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Asian or Pacific Islander",1.8518518519
"68",8,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Black or African American",42.592592593
"69",9,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Hispanic or Latinx",14.814814815
"70",10,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"White or Caucasian",40.740740741
"71",11,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Other",0
"72",12,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Unknown",0
"73",13,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Asian or Pacific Islander",0
"74",14,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Black or African American",0
"75",15,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Hispanic or Latinx",0
"76",16,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"White or Caucasian",100
"77",17,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Other",0
"78",18,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Unknown",0
"79",19,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Asian or Pacific Islander",0
"80",20,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Black or African American",3.8461538462
"81",21,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Hispanic or Latinx",0
"82",22,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"White or Caucasian",96.153846154
"83",23,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Other",0
"84",24,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Unknown",0
"85",25,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Asian or Pacific Islander",3.125
"86",26,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Black or African American",12.5
"87",27,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Hispanic or Latinx",21.875
"88",28,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"White or Caucasian",59.375
"89",29,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Other",3.125
"90",30,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Unknown",0
"91",31,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Asian or Pacific Islander",0
"92",32,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Black or African American",25
"93",33,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Hispanic or Latinx",0
"94",34,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"White or Caucasian",75
"95",35,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Other",0
"96",36,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Unknown",0
"97",37,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Asian or Pacific Islander",2.2727272727
"98",38,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Black or African American",20.454545455
"99",39,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Hispanic or Latinx",4.5454545455
"100",40,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"White or Caucasian",72.727272727
"101",41,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Other",0
"102",42,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Unknown",0
"103",43,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Asian or Pacific Islander",0
"104",44,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Black or African American",33.333333333
"105",45,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Hispanic or Latinx",0
"106",46,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"White or Caucasian",66.666666667
"107",47,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Other",0
"108",48,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Unknown",0
"109",49,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Asian or Pacific Islander",0
"110",50,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Black or African American",43.333333333
"111",51,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Hispanic or Latinx",0
"112",52,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"White or Caucasian",56.666666667
"113",53,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Other",0
"114",54,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Unknown",0
"115",55,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Asian or Pacific Islander",0
"116",56,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Black or African American",64
"117",57,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Hispanic or Latinx",0
"118",58,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"White or Caucasian",36
"119",59,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Other",0
"120",60,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Unknown",0
"121",61,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Asian or Pacific Islander",0
"122",62,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Black or African American",38.888888889
"123",63,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Hispanic or Latinx",0
"124",64,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"White or Caucasian",61.111111111
"125",65,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Other",0
"126",66,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Unknown",0
"127",67,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Asian or Pacific Islander",2.7027027027
"128",68,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Black or African American",16.216216216
"129",69,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Hispanic or Latinx",13.513513514
"130",70,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"White or Caucasian",67.567567568
"131",71,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Other",0
"132",72,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Unknown",0
"133",73,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Asian or Pacific Islander",5.8823529412
"134",74,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Black or African American",5.8823529412
"135",75,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Hispanic or Latinx",23.529411765
"136",76,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"White or Caucasian",64.705882353
"137",77,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Other",0
"138",78,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Unknown",0
"139",79,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Asian or Pacific Islander",2.9411764706
"140",80,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Black or African American",20.588235294
"141",81,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Hispanic or Latinx",2.9411764706
"142",82,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"White or Caucasian",73.529411765
"143",83,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Other",0
"144",84,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Unknown",0
"145",85,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Asian or Pacific Islander",0
"146",86,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Black or African American",15.384615385
"147",87,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Hispanic or Latinx",38.461538462
"148",88,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"White or Caucasian",46.153846154
"149",89,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Other",0
"150",90,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Unknown",0
"151",91,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Asian or Pacific Islander",0
"152",92,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Black or African American",100
"153",93,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Hispanic or Latinx",0
"154",94,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"White or Caucasian",0
"155",95,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Other",0
"156",96,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Unknown",0
"157",97,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Asian or Pacific Islander",0
"158",98,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Black or African American",0
"159",99,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Hispanic or Latinx",100
"160",100,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"White or Caucasian",0
"161",101,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Other",0
"162",102,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Unknown",0
"163",103,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Asian or Pacific Islander",0
"164",104,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Black or African American",55.172413793
"165",105,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Hispanic or Latinx",0
"166",106,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"White or Caucasian",44.827586207
"167",107,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Other",0
"168",108,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Unknown",0
"169",109,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Asian or Pacific Islander",4.6728971963
"170",110,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Black or African American",19.626168224
"171",111,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Hispanic or Latinx",23.364485981
"172",112,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"White or Caucasian",52.336448598
"173",113,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Other",0
"174",114,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Unknown",0
"175",115,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Asian or Pacific Islander",0
"176",116,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Black or African American",37.931034483
"177",117,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Hispanic or Latinx",37.931034483
"178",118,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"White or Caucasian",24.137931034
"179",119,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Other",0
"180",120,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Unknown",0
"181",121,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Asian or Pacific Islander",0
"182",122,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Black or African American",83.333333333
"183",123,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Hispanic or Latinx",16.666666667
"184",124,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"White or Caucasian",0
"185",125,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Other",0
"186",126,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Unknown",0
"187",127,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Asian or Pacific Islander",0
"188",128,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Black or African American",0
"189",129,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Hispanic or Latinx",0
"190",130,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"White or Caucasian",100
"191",131,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Other",0
"192",132,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Unknown",0
"193",133,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Asian or Pacific Islander",0
"194",134,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Black or African American",0
"195",135,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Hispanic or Latinx",50
"196",136,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"White or Caucasian",50
"197",137,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Other",0
"198",138,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Unknown",0
"199",139,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Asian or Pacific Islander",0
"200",140,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Black or African American",12.5
"201",141,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Hispanic or Latinx",0
"202",142,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"White or Caucasian",87.5
"203",143,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Other",0
"204",144,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Unknown",0
"205",145,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Asian or Pacific Islander",0
"206",146,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Black or African American",0
"207",147,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Hispanic or Latinx",0
"208",148,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"White or Caucasian",100
"209",149,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Other",0
"210",150,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Unknown",0
"211",151,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Asian or Pacific Islander",0
"212",152,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Black or African American",0
"213",153,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Hispanic or Latinx",0
"214",154,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"White or Caucasian",90
"215",155,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Other",10
"216",156,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Unknown",0
"217",157,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Asian or Pacific Islander",8.3333333333
"218",158,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Black or African American",16.666666667
"219",159,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Hispanic or Latinx",0
"220",160,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"White or Caucasian",75
"221",161,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Other",0
"222",162,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Unknown",0
"223",163,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Asian or Pacific Islander",0
"224",164,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Black or African American",28.571428571
"225",165,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Hispanic or Latinx",21.428571429
"226",166,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"White or Caucasian",50
"227",167,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Other",0
"228",168,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Unknown",0
"229",169,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Asian or Pacific Islander",0
"230",170,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Black or African American",14.285714286
"231",171,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Hispanic or Latinx",14.285714286
"232",172,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"White or Caucasian",57.142857143
"233",173,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Other",14.285714286
"234",174,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Unknown",0
"235",175,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Asian or Pacific Islander",0
"236",176,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Black or African American",0
"237",177,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Hispanic or Latinx",22.222222222
"238",178,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"White or Caucasian",77.777777778
"239",179,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Other",0
"240",180,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Unknown",0
"241",181,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Asian or Pacific Islander",25
"242",182,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Black or African American",0
"243",183,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Hispanic or Latinx",25
"244",184,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"White or Caucasian",50
"245",185,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Other",0
"246",186,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Unknown",0
"247",187,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Asian or Pacific Islander",0
"248",188,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Black or African American",50
"249",189,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Hispanic or Latinx",0
"250",190,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"White or Caucasian",50
"251",191,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Other",0
"252",192,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Unknown",0
"253",193,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Asian or Pacific Islander",0
"254",194,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Black or African American",16.666666667
"255",195,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Hispanic or Latinx",66.666666667
