"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"71",21,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"AB",3.125
"72",22,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"A",31.25
"73",23,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"B",25
"74",24,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"O",40.625
"75",25,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Unknown",0
"76",26,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"AB",0
"77",27,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"A",25
"78",28,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"B",0
"79",29,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"O",75
"80",30,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Unknown",0
"81",31,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"AB",0
"82",32,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"A",36.363636364
"83",33,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"B",9.0909090909
"84",34,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"O",54.545454545
"85",35,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Unknown",0
"86",36,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"AB",0
"87",37,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"A",33.333333333
"88",38,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"B",0
"89",39,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"O",66.666666667
"90",40,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Unknown",0
"91",41,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"AB",0
"92",42,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"A",23.333333333
"93",43,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"B",6.6666666667
"94",44,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"O",70
"95",45,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Unknown",0
"96",46,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"AB",0
"97",47,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"A",20
"98",48,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"B",12
"99",49,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"O",68
"100",50,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Unknown",0
"101",51,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"AB",0
"102",52,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"A",33.333333333
"103",53,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"B",13.888888889
"104",54,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"O",52.777777778
"105",55,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Unknown",0
"106",56,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"AB",2.7027027027
"107",57,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"A",29.72972973
"108",58,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"B",5.4054054054
"109",59,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"O",62.162162162
"110",60,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Unknown",0
"111",61,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"AB",5.8823529412
"112",62,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"A",23.529411765
"113",63,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"B",23.529411765
"114",64,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"O",47.058823529
"115",65,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Unknown",0
"116",66,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"AB",0
"117",67,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"A",41.176470588
"118",68,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"B",11.764705882
"119",69,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"O",47.058823529
"120",70,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Unknown",0
"121",71,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"AB",0
"122",72,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"A",23.076923077
"123",73,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"B",23.076923077
"124",74,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"O",53.846153846
"125",75,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Unknown",0
"126",76,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"AB",0
"127",77,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"A",50
"128",78,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"B",0
"129",79,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"O",50
"130",80,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Unknown",0
"131",81,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"AB",0
"132",82,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"A",100
"133",83,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"B",0
"134",84,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"O",0
"135",85,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Unknown",0
"136",86,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"AB",6.8965517241
"137",87,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"A",24.137931034
"138",88,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"B",10.344827586
"139",89,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"O",58.620689655
"140",90,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Unknown",0
"141",91,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"AB",0.9345794393
"142",92,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"A",33.644859813
"143",93,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"B",4.6728971963
"144",94,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"O",60.747663551
"145",95,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Unknown",0
"146",96,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"AB",0
"147",97,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"A",31.034482759
"148",98,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"B",6.8965517241
"149",99,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"O",62.068965517
"150",100,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Unknown",0
"151",101,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"AB",0
"152",102,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"A",33.333333333
"153",103,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"B",0
"154",104,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"O",66.666666667
"155",105,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Unknown",0
"156",106,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"AB",0
"157",107,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"A",0
"158",108,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"B",0
"159",109,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"O",100
"160",110,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Unknown",0
"161",111,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"AB",0
"162",112,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"A",16.666666667
"163",113,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"B",33.333333333
"164",114,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"O",50
"165",115,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Unknown",0
"166",116,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"AB",12.5
"167",117,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"A",37.5
"168",118,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"B",0
"169",119,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"O",50
"170",120,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Unknown",0
"171",121,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"AB",0
"172",122,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"A",0
"173",123,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"B",0
"174",124,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"O",100
"175",125,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Unknown",0
"176",126,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"AB",10
"177",127,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"A",30
"178",128,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"B",10
"179",129,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"O",50
"180",130,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Unknown",0
"181",131,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"AB",0
"182",132,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"A",25
"183",133,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"B",16.666666667
"184",134,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"O",58.333333333
"185",135,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Unknown",0
"186",136,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"AB",7.1428571429
"187",137,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"A",50
"188",138,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"B",7.1428571429
"189",139,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"O",35.714285714
"190",140,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Unknown",0
"191",141,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"AB",0
"192",142,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"A",42.857142857
"193",143,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"B",0
"194",144,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"O",57.142857143
"195",145,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Unknown",0
"196",146,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"AB",0
"197",147,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"A",77.777777778
"198",148,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"B",0
"199",149,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"O",22.222222222
"200",150,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Unknown",0
"201",151,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"AB",0
"202",152,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"A",50
"203",153,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"B",25
"204",154,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"O",25
"205",155,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Unknown",0
"206",156,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"AB",0
"207",157,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"A",75
"208",158,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"B",0
"209",159,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"O",25
"210",160,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Unknown",0
"211",161,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"AB",16.666666667
"212",162,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"A",33.333333333
"213",163,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"B",0
"214",164,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"O",50
"215",165,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Unknown",0
"216",166,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"AB",6.6666666667
"217",167,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"A",20
"218",168,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"B",6.6666666667
"219",169,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"O",66.666666667
"220",170,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"Unknown",0
"221",171,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"AB",0
"222",172,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"A",22.448979592
"223",173,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"B",6.1224489796
"224",174,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"O",71.428571429
"225",175,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"Unknown",0
"226",176,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"AB",1.8181818182
"227",177,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"A",12.727272727
"228",178,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"B",12.727272727
"229",179,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"O",72.727272727
"230",180,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"Unknown",0
"231",181,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"AB",0
"232",182,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"A",20
"233",183,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"B",13.333333333
"234",184,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"O",66.666666667
"235",185,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"Unknown",0
"236",186,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"AB",0
"237",187,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"A",34.615384615
"238",188,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"B",7.6923076923
"239",189,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"O",57.692307692
"240",190,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"Unknown",0
"241",191,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"AB",4.347826087
"242",192,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"A",21.739130435
"243",193,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"B",4.347826087
"244",194,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"O",69.565217391
"245",195,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"Unknown",0
"246",196,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"AB",0
"247",197,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"A",17.24137931
"248",198,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"B",6.8965517241
"249",199,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"O",75.862068966
"250",200,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"Unknown",0
"251",201,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"AB",2.9850746269
"252",202,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"A",25.373134328
"253",203,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"B",8.9552238806
"254",204,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"O",62.686567164
"255",205,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"Unknown",0
"256",206,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"AB",4.4117647059
"257",207,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"A",32.352941176
"258",208,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"B",11.764705882
"259",209,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"O",51.470588235
"260",210,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"Unknown",0
"261",211,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"AB",0
"262",212,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"A",23.076923077
"263",213,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"B",7.6923076923
"264",214,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"O",69.230769231
"265",215,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"Unknown",0
"266",216,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"AB",0
"267",217,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"A",34.615384615
"268",218,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"B",7.6923076923
"269",219,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"O",57.692307692
"270",220,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"Unknown",0
"271",221,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"AB",0
"272",222,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"A",21.951219512
"273",223,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"B",24.390243902
"274",224,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"O",53.658536585
"275",225,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"Unknown",0
"276",226,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Heart",73112,"AB",0
"277",227,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Heart",73112,"A",22.727272727
"278",228,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Heart",73112,"B",18.181818182
