"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"69",13,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"35 to 49 Years",24.074074074
"70",14,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"50 to 64 Years",55.555555556
"71",15,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"65 to 69 Years",11.111111111
"72",16,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"More Than 70 Years",0
"73",17,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"2 to 11 Years",0
"74",18,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"12 to 17 Years",100
"75",19,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Less Than 2 Years",0
"76",20,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"18 to 34 Years",0
"77",21,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"35 to 49 Years",0
"78",22,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"50 to 64 Years",0
"79",23,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"65 to 69 Years",0
"80",24,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"More Than 70 Years",0
"81",25,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"2 to 11 Years",0
"82",26,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"12 to 17 Years",0
"83",27,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Less Than 2 Years",0
"84",28,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"18 to 34 Years",7.6923076923
"85",29,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"35 to 49 Years",15.384615385
"86",30,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"50 to 64 Years",53.846153846
"87",31,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"65 to 69 Years",23.076923077
"88",32,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"More Than 70 Years",0
"89",33,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"2 to 11 Years",46.875
"90",34,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"12 to 17 Years",9.375
"91",35,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Less Than 2 Years",31.25
"92",36,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"18 to 34 Years",12.5
"93",37,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"35 to 49 Years",0
"94",38,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"50 to 64 Years",0
"95",39,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"65 to 69 Years",0
"96",40,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"More Than 70 Years",0
"97",41,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"2 to 11 Years",25
"98",42,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"12 to 17 Years",50
"99",43,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Less Than 2 Years",25
"100",44,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"18 to 34 Years",0
"101",45,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"35 to 49 Years",0
"102",46,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"50 to 64 Years",0
"103",47,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"65 to 69 Years",0
"104",48,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"More Than 70 Years",0
"105",49,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"2 to 11 Years",0
"106",50,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"12 to 17 Years",0
"107",51,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Less Than 2 Years",0
"108",52,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"18 to 34 Years",11.363636364
"109",53,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"35 to 49 Years",15.909090909
"110",54,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"50 to 64 Years",54.545454545
"111",55,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"65 to 69 Years",18.181818182
"112",56,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"More Than 70 Years",0
"113",57,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"2 to 11 Years",0
"114",58,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"12 to 17 Years",0
"115",59,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Less Than 2 Years",0
"116",60,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"18 to 34 Years",0
"117",61,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"35 to 49 Years",16.666666667
"118",62,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"50 to 64 Years",83.333333333
"119",63,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"65 to 69 Years",0
"120",64,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"More Than 70 Years",0
"121",65,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"2 to 11 Years",0
"122",66,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"12 to 17 Years",0
"123",67,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Less Than 2 Years",0
"124",68,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"18 to 34 Years",8.3333333333
"125",69,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"35 to 49 Years",38.888888889
"126",70,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"50 to 64 Years",47.222222222
"127",71,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"65 to 69 Years",5.5555555556
"128",72,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"More Than 70 Years",0
"129",73,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"2 to 11 Years",0
"130",74,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"12 to 17 Years",0
"131",75,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Less Than 2 Years",0
"132",76,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"18 to 34 Years",13.513513514
"133",77,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"35 to 49 Years",18.918918919
"134",78,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"50 to 64 Years",51.351351351
"135",79,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"65 to 69 Years",13.513513514
"136",80,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"More Than 70 Years",2.7027027027
"137",81,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"2 to 11 Years",29.411764706
"138",82,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"12 to 17 Years",29.411764706
"139",83,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Less Than 2 Years",23.529411765
"140",84,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"18 to 34 Years",17.647058824
"141",85,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"35 to 49 Years",0
"142",86,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"50 to 64 Years",0
"143",87,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"65 to 69 Years",0
"144",88,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"More Than 70 Years",0
"145",89,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"2 to 11 Years",0
"146",90,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"12 to 17 Years",0
"147",91,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Less Than 2 Years",0
"148",92,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"18 to 34 Years",11.764705882
"149",93,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"35 to 49 Years",35.294117647
"150",94,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"50 to 64 Years",47.058823529
"151",95,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"65 to 69 Years",5.8823529412
"152",96,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"More Than 70 Years",0
"153",97,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"2 to 11 Years",0
"154",98,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"12 to 17 Years",0
"155",99,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Less Than 2 Years",0
"156",100,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"18 to 34 Years",15.384615385
"157",101,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"35 to 49 Years",30.769230769
"158",102,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"50 to 64 Years",38.461538462
"159",103,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"65 to 69 Years",15.384615385
"160",104,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"More Than 70 Years",0
"161",105,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"2 to 11 Years",50
"162",106,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"12 to 17 Years",0
"163",107,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Less Than 2 Years",50
"164",108,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"18 to 34 Years",0
"165",109,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"35 to 49 Years",0
"166",110,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"50 to 64 Years",0
"167",111,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"65 to 69 Years",0
"168",112,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"More Than 70 Years",0
"169",113,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"2 to 11 Years",6.8965517241
"170",114,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"12 to 17 Years",3.4482758621
"171",115,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Less Than 2 Years",3.4482758621
"172",116,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"18 to 34 Years",13.793103448
"173",117,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"35 to 49 Years",27.586206897
"174",118,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"50 to 64 Years",44.827586207
"175",119,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"65 to 69 Years",0
"176",120,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"More Than 70 Years",0
"177",121,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"2 to 11 Years",0
"178",122,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"12 to 17 Years",0
"179",123,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Less Than 2 Years",0
"180",124,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"18 to 34 Years",11.214953271
"181",125,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"35 to 49 Years",29.906542056
"182",126,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"50 to 64 Years",43.925233645
"183",127,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"65 to 69 Years",11.214953271
"184",128,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"More Than 70 Years",3.738317757
"185",129,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"2 to 11 Years",0
"186",130,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"12 to 17 Years",0
"187",131,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Less Than 2 Years",0
"188",132,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"18 to 34 Years",10.344827586
"189",133,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"35 to 49 Years",34.482758621
"190",134,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"50 to 64 Years",41.379310345
"191",135,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"65 to 69 Years",13.793103448
"192",136,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"More Than 70 Years",0
"193",137,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"2 to 11 Years",50
"194",138,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"12 to 17 Years",16.666666667
"195",139,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Less Than 2 Years",33.333333333
"196",140,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"18 to 34 Years",0
"197",141,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"35 to 49 Years",0
"198",142,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"50 to 64 Years",0
"199",143,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"65 to 69 Years",0
"200",144,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"More Than 70 Years",0
"201",145,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"2 to 11 Years",16.666666667
"202",146,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"12 to 17 Years",33.333333333
"203",147,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Less Than 2 Years",16.666666667
"204",148,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"18 to 34 Years",16.666666667
"205",149,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"35 to 49 Years",16.666666667
"206",150,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"50 to 64 Years",0
"207",151,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"65 to 69 Years",0
"208",152,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"More Than 70 Years",0
"209",153,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"2 to 11 Years",25
"210",154,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"12 to 17 Years",37.5
"211",155,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Less Than 2 Years",25
"212",156,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"18 to 34 Years",12.5
"213",157,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"35 to 49 Years",0
"214",158,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"50 to 64 Years",0
"215",159,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"65 to 69 Years",0
"216",160,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"More Than 70 Years",0
"217",161,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"2 to 11 Years",0
"218",162,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"12 to 17 Years",0
"219",163,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Less Than 2 Years",100
"220",164,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"18 to 34 Years",0
"221",165,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"35 to 49 Years",0
"222",166,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"50 to 64 Years",0
"223",167,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"65 to 69 Years",0
"224",168,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"More Than 70 Years",0
"225",169,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"2 to 11 Years",30
"226",170,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"12 to 17 Years",30
"227",171,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Less Than 2 Years",40
"228",172,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"18 to 34 Years",0
"229",173,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"35 to 49 Years",0
"230",174,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"50 to 64 Years",0
"231",175,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"65 to 69 Years",0
"232",176,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"More Than 70 Years",0
"233",177,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"2 to 11 Years",25
"234",178,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"12 to 17 Years",16.666666667
"235",179,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Less Than 2 Years",50
"236",180,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"18 to 34 Years",8.3333333333
"237",181,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"35 to 49 Years",0
"238",182,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"50 to 64 Years",0
"239",183,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"65 to 69 Years",0
"240",184,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"More Than 70 Years",0
"241",185,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"2 to 11 Years",50
"242",186,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"12 to 17 Years",35.714285714
"243",187,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Less Than 2 Years",14.285714286
"244",188,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"18 to 34 Years",0
"245",189,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"35 to 49 Years",0
