"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"91",71,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"Female",25.454545455
"92",72,"Emory University Hospital (GAEM)","GAEM","TX1","Heart",30322,"Male",74.545454545
"93",73,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"Female",20
"94",74,"Florida Hospital Medical Center (FLFH)","FLFH","TX1","Heart",32803,"Male",80
"95",75,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"Female",19.230769231
"96",76,"Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","Heart",53226,"Male",80.769230769
"97",77,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"Female",30.434782609
"98",78,"Hartford Hospital (CTHH)","CTHH","TX1","Heart",6102,"Male",69.565217391
"99",79,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"Female",13.793103448
"100",80,"Henry Ford Hospital (MIHF)","MIHF","TX1","Heart",48202,"Male",86.206896552
"101",81,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"Female",19.402985075
"102",82,"Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","Heart",19104,"Male",80.597014925
"103",83,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"Female",23.529411765
"104",84,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart",77030,"Male",76.470588235
"105",85,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"Female",7.6923076923
"106",86,"Hunter Holmes McGuire Veterans Administration Medical Center (VAMV)","VAMV","TX1","Heart",NA,"Male",92.307692308
"107",87,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"Female",15.384615385
"108",88,"Indiana University Health (INIM)","INIM","TX1","Heart",46202,"Male",84.615384615
"109",89,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"Female",17.073170732
"110",90,"Inova Fairfax Hospital (VAFH)","VAFH","TX1","Heart",22042,"Male",82.926829268
"111",91,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Heart",73112,"Female",9.0909090909
"112",92,"Integris Baptist Medical Center (OKBC)","OKBC","TX1","Heart",73112,"Male",90.909090909
"113",93,"Intermountain Medical Center (UTLD)","UTLD","TX1","Heart",84107,"Female",35.294117647
"114",94,"Intermountain Medical Center (UTLD)","UTLD","TX1","Heart",84107,"Male",64.705882353
"115",95,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart",33136,"Female",24.324324324
"116",96,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart",33136,"Male",75.675675676
"117",97,"Jewish Hospital (KYJH)","KYJH","TX1","Heart",40202,"Female",31.25
"118",98,"Jewish Hospital (KYJH)","KYJH","TX1","Heart",40202,"Male",68.75
"119",99,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Heart",21287,"Female",25.641025641
"120",100,"Johns Hopkins Hospital (MDJH)","MDJH","TX1","Heart",21287,"Male",74.358974359
"121",101,"Keck Hospital of USC (CAUH)","CAUH","TX1","Heart",90033,"Female",16.666666667
"122",102,"Keck Hospital of USC (CAUH)","CAUH","TX1","Heart",90033,"Male",83.333333333
"123",103,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Heart",38103,"Female",20
"124",104,"Le Bonheur Children's Medical Center (TNLB)","TNLB","TX1","Heart",38103,"Male",80
"125",105,"Loma Linda University Medical Center (CALL)","CALL","TX1","Heart",92354,"Female",50
"126",106,"Loma Linda University Medical Center (CALL)","CALL","TX1","Heart",92354,"Male",50
"127",107,"Loyola University Medical Center (ILLU)","ILLU","TX1","Heart",60153,"Female",29.62962963
"128",108,"Loyola University Medical Center (ILLU)","ILLU","TX1","Heart",60153,"Male",70.37037037
"129",109,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Heart",94304,"Female",23.80952381
"130",110,"Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","Heart",94304,"Male",76.19047619
"131",111,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Heart",2114,"Female",11.111111111
"132",112,"Massachusetts General Hospital (MAMG)","MAMG","TX1","Heart",2114,"Male",88.888888889
"133",113,"Mayo Clinic Florida (FLSL)","FLSL","TX1","Heart",32224,"Female",27.027027027
"134",114,"Mayo Clinic Florida (FLSL)","FLSL","TX1","Heart",32224,"Male",72.972972973
"135",115,"Mayo Clinic Hospital (AZMC)","AZMC","TX1","Heart",85054,"Female",30.434782609
"136",116,"Mayo Clinic Hospital (AZMC)","AZMC","TX1","Heart",85054,"Male",69.565217391
"137",117,"Medical City Dallas Hospital (TXHD)","TXHD","TX1","Heart",75230,"Female",37.5
"138",118,"Medical City Dallas Hospital (TXHD)","TXHD","TX1","Heart",75230,"Male",62.5
"139",119,"Medical College of Virginia Hospitals (VAMC)","VAMC","TX1","Heart",23219,"Female",9.5238095238
"140",120,"Medical College of Virginia Hospitals (VAMC)","VAMC","TX1","Heart",23219,"Male",90.476190476
"141",121,"Medical University of South Carolina (SCMU)","SCMU","TX1","Heart",29425,"Female",33.333333333
"142",122,"Medical University of South Carolina (SCMU)","SCMU","TX1","Heart",29425,"Male",66.666666667
"143",123,"Memorial Hermann Hospital, University of Texas at Houston (TXHH)","TXHH","TX1","Heart",77030,"Female",36.842105263
"144",124,"Memorial Hermann Hospital, University of Texas at Houston (TXHH)","TXHH","TX1","Heart",77030,"Male",63.157894737
"145",125,"Memorial Regional Hospital (FLMR)","FLMR","TX1","Heart",33021,"Female",17.647058824
"146",126,"Memorial Regional Hospital (FLMR)","FLMR","TX1","Heart",33021,"Male",82.352941176
"147",127,"Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD)","FLJD","TX1","Heart",NA,"Female",50
"148",128,"Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD)","FLJD","TX1","Heart",NA,"Male",50
"149",129,"Methodist Specialty and Transplant Hospital (TXHS)","TXHS","TX1","Heart",78229,"Female",21.739130435
"150",130,"Methodist Specialty and Transplant Hospital (TXHS)","TXHS","TX1","Heart",78229,"Male",78.260869565
"151",131,"Montefiore Medical Center (NYMA)","NYMA","TX1","Heart",10467,"Female",19.607843137
"152",132,"Montefiore Medical Center (NYMA)","NYMA","TX1","Heart",10467,"Male",80.392156863
"153",133,"Mount Sinai Medical Center (NYMS)","NYMS","TX1","Heart",10029,"Female",31.460674157
"154",134,"Mount Sinai Medical Center (NYMS)","NYMS","TX1","Heart",10029,"Male",68.539325843
"155",135,"MUSC Children's Hospital (SCCH)","SCCH","TX1","Heart",NA,"Female",20
"156",136,"MUSC Children's Hospital (SCCH)","SCCH","TX1","Heart",NA,"Male",80
"157",137,"Nationwide Children's Hospital (OHCH)","OHCH","TX1","Heart",43205,"Female",16.666666667
"158",138,"Nationwide Children's Hospital (OHCH)","OHCH","TX1","Heart",43205,"Male",83.333333333
"159",139,"New York University Medical Center (NYUC)","NYUC","TX1","Heart",10016,"Female",16.666666667
"160",140,"New York University Medical Center (NYUC)","NYUC","TX1","Heart",10016,"Male",83.333333333
"161",141,"Newark Beth Israel Medical Center (NJBI)","NJBI","TX1","Heart",7112,"Female",13.888888889
"162",142,"Newark Beth Israel Medical Center (NJBI)","NJBI","TX1","Heart",7112,"Male",86.111111111
"163",143,"North Shore University Hospital/Northwell Health (NYNS)","NYNS","TX1","Heart",11030,"Female",37.5
"164",144,"North Shore University Hospital/Northwell Health (NYNS)","NYNS","TX1","Heart",11030,"Male",62.5
"165",145,"Northwestern Memorial Hospital (ILNM)","ILNM","TX1","Heart",60611,"Female",40.384615385
"166",146,"Northwestern Memorial Hospital (ILNM)","ILNM","TX1","Heart",60611,"Male",59.615384615
"167",147,"Norton Children's Hospital (KYKC)","KYKC","TX1","Heart",40202,"Female",40
"168",148,"Norton Children's Hospital (KYKC)","KYKC","TX1","Heart",40202,"Male",60
"169",149,"NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP)","NYCP","TX1","Heart",10032,"Female",22.448979592
"170",150,"NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP)","NYCP","TX1","Heart",10032,"Male",77.551020408
"171",151,"Ochsner Foundation Hospital (LAOF)","LAOF","TX1","Heart",70121,"Female",26.229508197
"172",152,"Ochsner Foundation Hospital (LAOF)","LAOF","TX1","Heart",70121,"Male",73.770491803
"173",153,"Ohio State University Medical Center (OHOU)","OHOU","TX1","Heart",43210,"Female",33.333333333
"174",154,"Ohio State University Medical Center (OHOU)","OHOU","TX1","Heart",43210,"Male",66.666666667
"175",155,"Oregon Health & Science University (ORUO)","ORUO","TX1","Heart",97239,"Female",33.333333333
"176",156,"Oregon Health & Science University (ORUO)","ORUO","TX1","Heart",97239,"Male",66.666666667
"177",157,"Penn State Milton S Hershey Medical Center (PAHE)","PAHE","TX1","Heart",17033,"Female",0
"178",158,"Penn State Milton S Hershey Medical Center (PAHE)","PAHE","TX1","Heart",17033,"Male",100
"179",159,"Phoenix Children's Hospital (AZCH)","AZCH","TX1","Heart",85016,"Female",60
"180",160,"Phoenix Children's Hospital (AZCH)","AZCH","TX1","Heart",85016,"Male",40
"181",161,"Piedmont Hospital (GAPH)","GAPH","TX1","Heart",30309,"Female",20
"182",162,"Piedmont Hospital (GAPH)","GAPH","TX1","Heart",30309,"Male",80
"183",163,"Primary Children's Hospital (UTPC)","UTPC","TX1","Heart",84113,"Female",55.555555556
"184",164,"Primary Children's Hospital (UTPC)","UTPC","TX1","Heart",84113,"Male",44.444444444
"185",165,"Providence Sacred Heart Medical Center & Children's Hospital (WASH)","WASH","TX1","Heart",99204,"Female",27.272727273
"186",166,"Providence Sacred Heart Medical Center & Children's Hospital (WASH)","WASH","TX1","Heart",99204,"Male",72.727272727
"187",167,"Rady Children's Hospital and Health Center (CACH)","CACH","TX1","Heart",92024,"Female",100
"188",168,"Rady Children's Hospital and Health Center (CACH)","CACH","TX1","Heart",92024,"Male",0
"189",169,"Robert Wood Johnson University Hospital (NJRW)","NJRW","TX1","Heart",8901,"Female",14.285714286
"190",170,"Robert Wood Johnson University Hospital (NJRW)","NJRW","TX1","Heart",8901,"Male",85.714285714
"191",171,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart",55902,"Female",35.714285714
"192",172,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart",55902,"Male",64.285714286
"193",173,"Saint Thomas Hospital (TNST)","TNST","TX1","Heart",37205,"Female",0
"194",174,"Saint Thomas Hospital (TNST)","TNST","TX1","Heart",37205,"Male",100
"195",175,"Scott and White Memorial Hospital (TXSW)","TXSW","TX1","Heart",76508,"Female",44.444444444
"196",176,"Scott and White Memorial Hospital (TXSW)","TXSW","TX1","Heart",76508,"Male",55.555555556
"197",177,"Seattle Children's Hospital (WACH)","WACH","TX1","Heart",98105,"Female",57.142857143
"198",178,"Seattle Children's Hospital (WACH)","WACH","TX1","Heart",98105,"Male",42.857142857
"199",179,"Sentara Norfolk General Hospital (VANG)","VANG","TX1","Heart",23507,"Female",23.80952381
"200",180,"Sentara Norfolk General Hospital (VANG)","VANG","TX1","Heart",23507,"Male",76.19047619
"201",181,"Seton Medical Center Austin (TXCT)","TXCT","TX1","Heart",NA,"Female",9.0909090909
"202",182,"Seton Medical Center Austin (TXCT)","TXCT","TX1","Heart",NA,"Male",90.909090909
"203",183,"Sharp Memorial Hospital (CASH)","CASH","TX1","Heart",92123,"Female",16.666666667
"204",184,"Sharp Memorial Hospital (CASH)","CASH","TX1","Heart",92123,"Male",83.333333333
"205",185,"Spectrum Health (MISH)","MISH","TX1","Heart",NA,"Female",24.137931034
"206",186,"Spectrum Health (MISH)","MISH","TX1","Heart",NA,"Male",75.862068966
"207",187,"St Luke's Hospital of Kansas City (MOLH)","MOLH","TX1","Heart",64111,"Female",20
"208",188,"St Luke's Hospital of Kansas City (MOLH)","MOLH","TX1","Heart",64111,"Male",80
"209",189,"St Vincent Hospital and Health Care Center (INSV)","INSV","TX1","Heart",46260,"Female",8.6206896552
"210",190,"St Vincent Hospital and Health Care Center (INSV)","INSV","TX1","Heart",46260,"Male",91.379310345
"211",191,"St. Louis Children's Hospital (MOCH)","MOCH","TX1","Heart",63110,"Female",50
"212",192,"St. Louis Children's Hospital (MOCH)","MOCH","TX1","Heart",63110,"Male",50
"213",193,"Stanford Health Care (CASU)","CASU","TX1","Heart",94305,"Female",34.285714286
"214",194,"Stanford Health Care (CASU)","CASU","TX1","Heart",94305,"Male",65.714285714
"215",195,"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)","NYFL","TX1","Heart",14642,"Female",22.5
"216",196,"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)","NYFL","TX1","Heart",14642,"Male",77.5
"217",197,"Sutter Meidcal Center Sacramento (CASG)","CASG","TX1","Heart",NA,"Female",16.666666667
"218",198,"Sutter Meidcal Center Sacramento (CASG)","CASG","TX1","Heart",NA,"Male",83.333333333
"219",199,"Tampa General Hospital (FLTG)","FLTG","TX1","Heart",33606,"Female",17.647058824
"220",200,"Tampa General Hospital (FLTG)","FLTG","TX1","Heart",33606,"Male",82.352941176
"221",201,"Temple University Hospital (PATU)","PATU","TX1","Heart",19140,"Female",14.285714286
"222",202,"Temple University Hospital (PATU)","PATU","TX1","Heart",19140,"Male",85.714285714
"223",203,"Texas Children's Hospital (TXTC)","TXTC","TX1","Heart",77030,"Female",43.181818182
"224",204,"Texas Children's Hospital (TXTC)","TXTC","TX1","Heart",77030,"Male",56.818181818
"225",205,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart",44195,"Female",20.175438596
"226",206,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart",44195,"Male",79.824561404
"227",207,"The Nebraska Medical Center (NEUN)","NEUN","TX1","Heart",68198,"Female",29.310344828
"228",208,"The Nebraska Medical Center (NEUN)","NEUN","TX1","Heart",68198,"Male",70.689655172
"229",209,"Thomas Jefferson University Hospital (PATJ)","PATJ","TX1","Heart",19107,"Female",33.333333333
"230",210,"Thomas Jefferson University Hospital (PATJ)","PATJ","TX1","Heart",19107,"Male",66.666666667
"231",211,"Tufts Medical Center (MANM)","MANM","TX1","Heart",2111,"Female",18.47826087
"232",212,"Tufts Medical Center (MANM)","MANM","TX1","Heart",2111,"Male",81.52173913
"233",213,"UCSF Medical Center at Mission Bay (CAMB)","CAMB","TX1","Heart",94158,"Female",0
"234",214,"UCSF Medical Center at Mission Bay (CAMB)","CAMB","TX1","Heart",94158,"Male",100
"235",215,"UF Health Shands Hospital (FLUF)","FLUF","TX1","Heart",32608,"Female",32.727272727
"236",216,"UF Health Shands Hospital (FLUF)","FLUF","TX1","Heart",32608,"Male",67.272727273
"237",217,"University Hospitals of Cleveland (OHUH)","OHUH","TX1","Heart",44106,"Female",30
"238",218,"University Hospitals of Cleveland (OHUH)","OHUH","TX1","Heart",44106,"Male",70
"239",219,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart",35233,"Female",29.166666667
"240",220,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart",35233,"Male",70.833333333
"241",221,"University of California at Los Angeles Medical Center (CAUC)","CAUC","TX1","Heart",90095,"Female",21.052631579
"242",222,"University of California at Los Angeles Medical Center (CAUC)","CAUC","TX1","Heart",90095,"Male",78.947368421
"243",223,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart",92037,"Female",25
"244",224,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart",92037,"Male",75
"245",225,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart",94118,"Female",19.047619048
"246",226,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart",94118,"Male",80.952380952
"247",227,"University of Chicago Medical Center (ILUC)","ILUC","TX1","Heart",60637,"Female",42.857142857
"248",228,"University of Chicago Medical Center (ILUC)","ILUC","TX1","Heart",60637,"Male",57.142857143
"249",229,"University of Cincinnati  Medical Center (OHUC)","OHUC","TX1","Heart",45229,"Female",0
"250",230,"University of Cincinnati  Medical Center (OHUC)","OHUC","TX1","Heart",45229,"Male",100
"251",231,"University of Colorado Hospital/Health Science Center (COUC)","COUC","TX1","Heart",80045,"Female",14.634146341
"252",232,"University of Colorado Hospital/Health Science Center (COUC)","COUC","TX1","Heart",80045,"Male",85.365853659
"253",233,"University of Iowa Hospitals and Clinics Transplant Programs (IAIV)","IAIV","TX1","Heart",52242,"Female",10.344827586
"254",234,"University of Iowa Hospitals and Clinics Transplant Programs (IAIV)","IAIV","TX1","Heart",52242,"Male",89.655172414
"255",235,"University of Kansas Hospital (KSUK)","KSUK","TX1","Heart",66103,"Female",26.086956522
"256",236,"University of Kansas Hospital (KSUK)","KSUK","TX1","Heart",66103,"Male",73.913043478
"257",237,"University of Kentucky Medical Center (KYUK)","KYUK","TX1","Heart",40536,"Female",6.8965517241
"258",238,"University of Kentucky Medical Center (KYUK)","KYUK","TX1","Heart",40536,"Male",93.103448276
"259",239,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart",21201,"Female",15.217391304
"260",240,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart",21201,"Male",84.782608696
"261",241,"University of Michigan Medical Center (MIUM)","MIUM","TX1","Heart",48109,"Female",22.727272727
"262",242,"University of Michigan Medical Center (MIUM)","MIUM","TX1","Heart",48109,"Male",77.272727273
"263",243,"University of Minnesota Medical Center, Fairview (MNUM)","MNUM","TX1","Heart",55454,"Female",17.777777778
"264",244,"University of Minnesota Medical Center, Fairview (MNUM)","MNUM","TX1","Heart",55454,"Male",82.222222222
"265",245,"University of Mississippi Medical Center (MSUM)","MSUM","TX1","Heart",39216,"Female",21.052631579
"266",246,"University of Mississippi Medical Center (MSUM)","MSUM","TX1","Heart",39216,"Male",78.947368421
"267",247,"University of North Carolina Hospitals (NCMH)","NCMH","TX1","Heart",27514,"Female",14.285714286
"268",248,"University of North Carolina Hospitals (NCMH)","NCMH","TX1","Heart",27514,"Male",85.714285714
"269",249,"University of Pittsburgh Medical Center (PAPT)","PAPT","TX1","Heart",15213,"Female",9.5238095238
"270",250,"University of Pittsburgh Medical Center (PAPT)","PAPT","TX1","Heart",15213,"Male",90.476190476
"271",251,"University of Texas Medical Branch at Galveston (TXJS)","TXJS","TX1","Heart",77555,"Female",58.333333333
"272",252,"University of Texas Medical Branch at Galveston (TXJS)","TXJS","TX1","Heart",77555,"Male",41.666666667
